lat,lon,RSSI_1,RSSI_2,RSSI_3,RSSI_4,RSSI_5,RSSI_6
-8.077546,-34.899288,-66.825,-35.6,-64.875,-72.575,-79.525,-78.45
-8.077545,-34.899265,-66.2,-33.65,-71.05,-71.75,-71.4,-84.55
-8.077541,-34.899246,-68.225,-32.3,-66.475,-71.15,-79.5,-83
-8.077541,-34.899231,-67.3333333333333,-28.9333333333333,-64.9333333333333,-70.2666666666667,-77.5,-80.4
-8.07754,-34.899231,-64.6,-26.3,-62.2333333333333,-68.7,-73.1,-82.3666666666667
-8.07754,-34.899223,-67.45,-27.8,-59.45,-66.45,-76.4,-81.2
-8.077538,-34.899307,-66.7,-44.4666666666667,-62.3333333333333,-79.4333333333333,-77.9,-81.5
-8.077538,-34.899231,-60.506976744186,-28.8697674418605,-62.6348837209302,-68.5325581395349,-72.6767441860465,-83.3093023255814
-8.077533,-34.899204,-67.1333333333333,-26.8666666666667,-62.3,-66.5666666666667,-76.5666666666667,-80.8333333333333
-8.077438,-34.8988,-57.7666666666667,-22.9666666666667,-67.2666666666667,-63.1666666666667,-71.2333333333333,-80.3
-8.077424,-34.899025,-65.5,-28.2333333333333,-71.3,-66.5,-70.6,-82.9
-8.077416,-34.898849,-63.2,-24,-69.1333333333333,-64.5666666666667,-66.0666666666667,-78.3333333333333
-8.077415,-34.898731,-70.575,-24.725,-63.375,-67.175,-74.075,-82.225
-8.077408,-34.898979,-67.4333333333333,-31.6,-64.7666666666667,-68.8333333333333,-68.4666666666667,-77.5666666666667
-8.077395,-34.899364,-77.9,-57.9,-71.3333333333333,-79.3,-74.8333333333333,-82.1
-8.077133,-34.898151,-65.175,-37.225,-73.25,-67.05,-74.625,-78.45
-8.077097,-34.898041,-63.0666666666667,-33,-69.4666666666667,-69.5666666666667,-74.4666666666667,-76.1333333333334
-8.077094,-34.897816,-62.7,-25.5,-73.2,-61.6,-70.6,-73.95
-8.077086,-34.899464,-64.8,-55.1,-67.2,-77.9666666666667,-78.1333333333333,-79.9
-8.077082,-34.899487,-65.9,-53.3,-59.9666666666667,-78.4333333333333,-78.6666666666667,-82.4333333333333
-8.077062,-34.897713,-59.825,-25.95,-71.825,-63.675,-75.575,-81.85
-8.07706,-34.897823,-59.675,-28.7,-71.8,-65.475,-75.075,-80.775
-8.077059,-34.897934,-67.5666666666667,-29.6,-73.1,-66.3333333333333,-71.5666666666667,-78.3666666666667
-8.077058,-34.899471,-70.7,-61.2,-70.95,-77.85,-81.95,-85.5
-8.077043,-34.899479,-64.8666666666667,-52.2666666666667,-70.3666666666667,-81.2666666666667,-78.6666666666667,-84.6333333333334
-8.077034,-34.899506,-63.2,-55.35,-64.8,-77.4,-74.25,-82.75
-8.077028,-34.89761,-64.75,-26.1,-75.55,-62.7,-74.75,-83
-8.077016,-34.897705,-61.5,-25.2333333333333,-72.2,-61.4,-78,-82.4333333333333
-8.077014,-34.899513,-65.6333333333333,-55.4333333333333,-72.4,-78.2,-78.6666666666667,-82.7333333333333
-8.076993,-34.899521,-66.5,-51.4333333333333,-66.6666666666667,-78.1333333333334,-79.9,-79.2666666666667
-8.076993,-34.897499,-61,-27.15,-78.125,-65.175,-72.15,-81.5
-8.076987,-34.899506,-63.05,-54,-70.65,-81.525,-79.775,-82.275
-8.076987,-34.89772,-64.8666666666667,-26.6666666666667,-70.5666666666667,-69,-73.6666666666667,-81.6333333333333
-8.076969,-34.897587,-65.0666666666667,-25.5333333333333,-73.3,-61.7666666666667,-75.8,-75.4333333333333
-8.076956,-34.897385,-63.1333333333333,-28.2666666666667,-73.0333333333333,-65.3666666666667,-74.5333333333333,-83.9333333333333
-8.076955,-34.899536,-62.8666666666667,-52.1,-68.2,-82.2,-77.2666666666667,-86.7
-8.076941,-34.899525,-63.65,-61.15,-70.55,-84.25,-81.65,-87.3
-8.076926,-34.897472,-61.7333333333333,-23.2333333333333,-68.9333333333333,-61.2333333333333,-78.6,-79.0333333333333
-8.076922,-34.897518,-64.9666666666667,-24.1,-75.3,-62.3,-73.4666666666667,-82.9333333333333
-8.076917,-34.899548,-67.5666666666667,-53.8333333333333,-66.3333333333333,-78.8,-77.9666666666667,-83.1
-8.076916,-34.897266,-64.3666666666667,-29.9666666666667,-78.1666666666667,-62.9333333333333,-81.0666666666667,-85.7
-8.076911,-34.899551,-68.3666666666667,-53.5333333333333,-66.4,-80.0333333333333,-81.2,-86.7666666666667
-8.076888,-34.897411,-60.6,-25.7333333333333,-75.4666666666667,-68.3333333333333,-72.2666666666667,-80.9666666666667
-8.076888,-34.897358,-62.3666666666667,-25.3333333333333,-77.8666666666667,-63.6333333333333,-74.8,-84.1666666666667
-8.07688,-34.899559,-63.3,-60.2,-60.4,-79.35,-75.25,-83.4
-8.076878,-34.899548,-72.5666666666667,-54.1333333333333,-63.6333333333333,-80.2666666666667,-80.0333333333333,-85.4
-8.076875,-34.897144,-65.0666666666667,-33.3666666666667,-74.9,-65,-70.3666666666667,-82.6666666666667
-8.076853,-34.897301,-63.5,-27.7,-77.7666666666667,-63.5333333333333,-72.1,-82.4333333333333
-8.076853,-34.897243,-64.9333333333333,-30.6666666666667,-76.2333333333333,-66.4666666666667,-69.9,-80.2666666666667
-8.076844,-34.89957,-67.3333333333333,-55.1333333333333,-67.0333333333333,-78.3666666666666,-80.7,-84.6666666666667
-8.076833,-34.897018,-60.1333333333333,-36.1666666666667,-72.8333333333333,-63.2,-69.4,-87.4333333333333
-8.076817,-34.897186,-61.05,-32.85,-74.9,-63.2,-72.525,-80.375
-8.076816,-34.897121,-62.6333333333333,-30.8,-74.2,-66.2333333333333,-73.5333333333333,-81.5666666666667
-8.076813,-34.89959,-67.9666666666667,-49.4666666666667,-67.5666666666667,-76,-75.4,-85.0666666666667
-8.076806,-34.899586,-68.0333333333333,-48.4333333333333,-63.9666666666667,-76.2,-76.9666666666667,-79.2333333333333
-8.076802,-34.899574,-65.2333333333333,-49.2,-64.7,-76.7,-69.6666666666667,-84.8666666666666
-8.076694,-34.896751,-61.8,-35.6666666666667,-74.8333333333333,-59.6666666666667,-75.6666666666667,-83.3
-8.076687,-34.899635,-64.0666666666667,-56.7333333333333,-63.4333333333333,-76.3333333333333,-76.2666666666667,-86.1333333333334
-8.076658,-34.896492,-60.95,-50.8,-74.8,-62.2,-67.15,-83.125
-8.076654,-34.896637,-59.525,-43.875,-73.025,-59.75,-73.925,-84.25
-8.076653,-34.896683,-59.7666666666667,-51.3333333333333,-70.1,-60.0666666666667,-69.8,-82.6333333333333
-8.07665,-34.899654,-58.9,-52.2,-64.75,-74.05,-77.35,-83.05
-8.076634,-34.899639,-66.9666666666667,-55.7,-71,-75.0333333333333,-77.0666666666667,-84.4666666666667
-8.07663,-34.899662,-68.3,-47.6666666666667,-73.5,-75.6666666666667,-78.2666666666667,-84.8333333333333
-8.076615,-34.896526,-57.1,-52.6666666666667,-75.7333333333333,-60.0333333333333,-69.1,-83.1333333333334
-8.076615,-34.896362,-61.1333333333333,-40.0333333333333,-72.1666666666667,-61.4,-75.8666666666666,-83.8
-8.076612,-34.89967,-63.2333333333333,-52,-68.2,-79.2,-78.7666666666667,-78.9333333333333
-8.07661,-34.896557,-58.6666666666667,-46.3,-72.7333333333333,-57.6666666666667,-72.9666666666667,-82.9666666666667
-8.076581,-34.896431,-55.5,-45.4333333333333,-74.0666666666667,-60.4333333333333,-70.4666666666667,-83.5666666666667
-8.076573,-34.896236,-61.2,-42.275,-70.425,-62.325,-72.1,-82.625
-8.076567,-34.896431,-64.8666666666667,-35,-72.6,-60.4333333333333,-73.1,-79.7666666666667
-8.076554,-34.896343,-56.2,-42.2333333333333,-76.1666666666667,-61.4333333333333,-69.5666666666667,-80.1666666666667
-8.076553,-34.89967,-66.1,-51.6333333333333,-65.8,-72.1,-81.1,-83.2333333333333
-8.076541,-34.899689,-71.9333333333333,-51.6333333333333,-75.8,-78.3,-81.8666666666666,-82.3333333333333
-8.076538,-34.899693,-64.7,-59.2,-70.1,-77.8666666666666,-78.1333333333334,-85.4666666666667
-8.07653,-34.896267,-59.1,-35.8666666666667,-76.7666666666667,-61.5333333333333,-71.9666666666667,-85.8333333333333
-8.07653,-34.896103,-60.6333333333333,-36.5666666666667,-66.9,-56.7,-68.9333333333333,-86.5
-8.076526,-34.896305,-58.1,-35.8,-76.5,-61.45,-77.85,-79.85
-8.076508,-34.896191,-58.9,-37.3666666666667,-73.9,-60.6333333333333,-76.5666666666667,-83.3
-8.076507,-34.899704,-66.2333333333333,-57.2333333333333,-67.6333333333333,-78.1666666666667,-80.0333333333333,-87.3666666666666
-8.076488,-34.896183,-66.75,-40.175,-72.85,-61.55,-70.5,-83.35
-8.076488,-34.895973,-60.3,-46.2333333333333,-70.7333333333333,-64,-74.7333333333333,-85.2333333333333
-8.076487,-34.896122,-61.2333333333333,-41.3333333333333,-73.7333333333333,-57.1333333333333,-74.7666666666667,-82.8333333333333
-8.076481,-34.8997,-64.0333333333333,-55.2,-67,-75.2666666666667,-77.2333333333333,-88.1333333333333
-8.076477,-34.899712,-69.8666666666667,-48.7333333333333,-65.5333333333333,-75.1666666666667,-84.4666666666667,-86.0666666666667
-8.076467,-34.896065,-67.6,-40.375,-71.225,-60.275,-73.375,-85.475
-8.076459,-34.899715,-65.3,-56.85,-73.6,-78.85,-80.95,-88.15
-8.076455,-34.896072,-59.9666666666667,-43.1333333333333,-75.9,-59.7666666666667,-72.9,-83.4333333333333
-8.076449,-34.89603,-59.1,-50.1,-79.2333333333333,-65.2666666666667,-72.1,-85.6
-8.076448,-34.895847,-59.9,-37.2,-75.55,-64.6,-72.05,-82.725
-8.076437,-34.895649,-65.8333333333333,-49.4666666666667,-76.0333333333333,-61.8,-75.6666666666667,-82.7666666666667
-8.076435,-34.895664,-64.75,-51.3,-80.2,-59.375,-73.875,-83.025
-8.076434,-34.895634,-64.1666666666667,-45.3,-76.7,-61.6666666666667,-73.7333333333333,-84.2333333333333
-8.076433,-34.895676,-67,-53.3666666666667,-75.2333333333333,-56.5333333333333,-70.1,-88.2666666666667
-8.076431,-34.896008,-60.3666666666667,-53.3666666666667,-75,-63,-70.5333333333333,-86.5333333333333
-8.076431,-34.895683,-66.6255813953488,-53.406976744186,-72.9279069767442,-56.7790697674419,-69.8558139534884,-86.8767441860465
-8.076431,-34.895622,-62.4666666666667,-36.9666666666667,-75.3,-56.8666666666667,-72.8666666666667,-80.7
-8.076429,-34.895855,-63.1,-36.5,-72.4333333333333,-65.5,-73.6333333333333,-81.6333333333333
-8.076428,-34.895615,-59.325,-39.075,-76.525,-59.925,-73.3,-81
-8.076427,-34.895897,-70.7666666666667,-42.4,-75.2,-65.5,-73.9333333333333,-87.0666666666667
-8.076427,-34.895809,-61.95,-36.875,-71.85,-65.95,-73.4,-81.7
-8.076427,-34.89571,-61.5666666666667,-44.3,-78.4666666666667,-64.8,-77.6666666666667,-85.1666666666667
-8.076425,-34.899723,-72,-52,-82.7,-73.45,-78.05,-88
-8.076425,-34.895607,-56.3,-38.6333333333333,-76.9333333333333,-56.7,-75.3,-80.6333333333334
-8.076424,-34.89576,-58.6333333333333,-41.4333333333333,-70.7666666666667,-68.9,-68.4333333333333,-87.5666666666667
-8.076423,-34.895969,-62.9,-48.6,-71.525,-64.775,-73.7,-84.05
-8.07642,-34.895596,-57.5,-37.8,-76.95,-54.3,-72.95,-79.1
-8.076415,-34.895992,-65.15,-48.3,-76.925,-62.7,-74.15,-83.225
-8.076411,-34.895931,-68.8,-48.4,-82.0333333333333,-67.7666666666667,-73.3666666666666,-84.5666666666667
-8.07641,-34.895725,-64.7333333333333,-39.6,-71.7,-64.8666666666667,-76.4333333333333,-82.6
